,content_id,content,subject,sentiment_value,sentiment_word
1,4QroPd9hNfnCHVt7,四驱价格貌似挺高的，高的可以看齐XC60了，看实车前脸有点违和感。不过大众的车应该不会差。,价格,-1,高
3,KMT1gFJiU4NWrVDn,这玩意都是给有钱任性又不懂车的土豪用的，这价格换一次我妹夫EP020可以换三锅了,价格,-1,有钱任性
4,nVIlGd5yMmc37t1o,17价格忒高，估计也就是14-15左右。   ,价格,-1,高
6,4lb9TsO5rjqUy1Bu,唉，这货的价格死硬死硬的，低配版优惠1万据说已经罕有了。    ,价格,-1,死硬
8,hoWrMnGTUvdsK3Dm,听过，价格太贵，但一直念念不忘    ,价格,-1,贵
14,JvXIqLT8cGDuPEWe,我也大连的，最近也考虑入手森林人，优惠太小了,价格,-1,优惠太小
15,NXyGEbt0AZ5rHJ3e,山东威海全系这才优惠3000，MD,价格,-1,才优惠
24,2aNFSuYeZo7B1b9R,兄弟，我也云南的，你的优惠也挺大的，现在哪里来的全系3万啊。。。现傲虎全系无优惠，森林人才八千    ,价格,-1,才
29,P5A3evWb9jUyHMB2,我们这里，优惠2000，我呵呵了,价格,-1,呵呵
31,zYfd7eDQqKZglLRi,深圳这破地方居然只优惠5K，看大家说的竟然有1万5的,价格,-1,只优惠
35,YVfZamz38QbrtMGx,哦，套路。。。。送的礼包也只有保养实惠点，现金优惠搞到最大，再弄几次保养。,价格,-1,套路
37,bhpH5MCV0GorXLud,没cd，没后视镜记忆。之家配置单里写有的,配置,-1,没
40,lkRcwBU9zQbdHeoj,特装我觉得就是多了几个不实用的配置，除了电动尾门，其他都没意义,配置,-1,不实用
42,tlj956MLseiyCTND,这个山寨导航屏幕很背光 换任何导航软件 我都提不起兴趣,配置,-1,背光
45,A6NsxYld5Ww9nqZh,还是没有手机导航更新快  而且还有实时路况,配置,-1,没有
46,sz5SD8QwktNdIEJx,不仅16款，斯巴鲁的导航全是到港装的国产山寨导航，分辨率正常啊,配置,-1,山寨
47,9nVacW5jLDCH267x,别卖了兄弟，森林人好开不保值。买的时候尊贵值钱，卖的时候尊贵不值钱，导航也不值钱，较少的公里数和良好的车况基本无视。发票价第一年八折，往后每年一折，四年的车就还剩5-6折····,配置,-1,不值钱
48,gyRioxAM0UEkjDus,XT性价比不高，太贵啦！还是买2.5豪华导航版吧（2.5低配）。    ,配置,-1,贵
49,rf7K8CHOj6dVJmEI,个人意见现车导航比不上手机好用，音响改装就是花无用钱。,配置,-1,比不上
50,8qIz60Ch5WbaVmc1,我16款开导航一会儿屏幕就黑了,配置,-1,黑
53,hL8JZfmrwHMDzUsE,垃圾导航 都不晓得怎么退出  比如听收音，退到主界面还是收音在响，换成USB就能切换过来，到了USB又不知道怎么退出. 先天不足啊,配置,-1,垃圾
55,hUAmRWNtwXyc2BSE,显示屏幕应该不支持蓝光的，原装的导航太差,配置,-1,差
57,Abigh0pODZ6UyMVa,买车不到半年，导航经常卡死，现在连蓝牙都连不上,配置,-1,卡死
61,6ZvDHFNPk9lMSpK2,已经无法重启了，黑屏了一星期    ,配置,-1,黑屏
62,Vb7usnJkHafBIWFG,显示屏的分辨率惨不忍睹    ,配置,-1,惨不忍睹
66,QvJn3XNr0FSjzZ5s,这玩意我从来没看过，真鸡肋，有倒车影像这个基本没用,配置,-1,鸡肋
92,Y24aOoGZRbJ80E73,cvt反应慢半拍造成的，不是油门原因起步踩油，cvt改变传动比，延迟四驱起步会优先把动力传给后轮，经过传动轴，又一个延迟。给人的反应是踩油不走，条件反射没踩够，再踩等车动了油门给多了。所有你就会感觉窜了。没办法物理瓶颈，4s改不了吧。你可以试试踩油不动。等车动了，再踩。悠着点开,动力,-1,反应慢
94,EHjWKRp7ZwIJToyO,4AT的一点也不省油！我2011款2.5XS纯市区百公里油耗要13.6L，高速上110KM/H的速度匀速跑的百公里油耗也要8.5L。   ,油耗,-1,不省油
102,EmRcpASKbULBues3,娘胎带的唯一缺点就是油耗比现款略高。    ,油耗,-1,略高
106,WrBJT9eSgPUucE1f,比如挂d挡不加油走，走了一小节就会熄火，或挂d挡要起步，加一下油马上把油门丢了会熄火。    ,动力,-1,熄火
113,4lpMbJuHCmeIXPVk,当然是很高的水平了！我大部分高速，现在2.2W油耗还得7.0多呢！,油耗,-1,还得
130,3dQcPltkrXj4YvVW,过段时间会黄一些 珍珠白油漆很难做 业界难题 除非整车,动力,-1,肉
132,qplI274Y6Z5sT0gA,垃圾石墨烯。楼主不信试试就知道了。噪音大。提速慢。轻微烧机油。油耗高。亲自体验结论。现在脱保换的其他机油。,油耗,-1,高
133,k4eHIUdq7PLQl8DW,啥车都有各种毛病。14年底入了蒙迪欧，市区油耗高的一逼，发动机哒哒哒烦死了。前两天买了个电动，说明书说的最大续航220公里，充了一次电跑了三十多公里电量还有68％可能是我开的比较快。                ,油耗,-1,高
134,8mJ4znTMhs6Icw3R,福特的发动机耐用，就是油耗高，我一朋友的蒙迪欧在根本不堵的路况下一公里一元，另外福特的纯电动车还是算了吧，纯电动车没有靠谱的，还是丰田的混动车省心，不如买辆二手的雷克萨斯ct200，价格便宜不少，油耗低，质量好，买一辆三年车龄的，还有三年质保，人家6年质保，外加电池8年20万公里质保，丰田的混动车口碑誉满全球    ,油耗,-1,高
142,z1KFt2yo0jD4lfOc,空调开一档 二档 声音比出风声都大    ,舒适性,-1,大
143,K0IJkXLnoN2lqu8F,2.5雨天开空调都感觉动力不佳，油门后段不行。,动力,-1,不佳
144,HNxJZ0OLEd84rlwv,其实是一部很普通的车，唯一亮点不是合资车，钣金的厚度和强度，内饰的落后，棒棒糖，后出风口之类的配置，吹什么经典，此时来看早已赶不上时代的变化，垄断不降价，售后保养达到和超过BBA的费用，让用户望而生畏。,内饰,-1,普通
146,lAGJVQu3NUP5FY9M,看我的帖子，拿手一掰就拆开了，很好拆，特么森林人内饰太松垮了,内饰,-1,松垮
147,SKx9oLEehCB35P8V,没有大事故，就是内饰有些旧！需要回来重新搞！谢谢！    ,内饰,-1,旧
148,pC6e3mQ9VYKanbSE,斯巴鲁确实是好车，就是内饰上面做工差了些   ,内饰,-1,差
149,YBQfz0GRclmnFXuq,这车的内饰不改改怎么可能卖得好,内饰,-1,不改改
151,6GXPYLv0ibIlStm1,发现傲虎后排座椅的包裹性设计，比森林人好那么一点点,内饰,-1,一点点
156,I4qsHPkuogCjyD5A,就是这里，做工不细致。农用车本色。这个地方高速起来就是一个噪音腔，把缝隙贴上马上就没那个声音了    ,内饰,-1,不细致
161,whNpfEbRKjU5M2Fv,没有鹰眼，安全性要打很大的折扣,安全性,-1,
170,imbX25NKYqQn9Cjy,我只能这样说用了7个月，感觉森的操控还是非常棒的比我以前的卡罗拉要好很多，缺点就是很多配置内饰比较挫，刹车嘎吱嘎吱的，很多东西要自己慢慢习惯就是。看你银子多少，银子多就上傲虎吧，银子少就上森。傲虎体面点内饰。   ,内饰,-1,挫
174,tP53vTVshQqfnpNG,刹车软只是脚感。感觉刹不住继续踩啊，我就不信你踩到底轮子不抱死？原厂刹车足够用了，别换，费钱,安全性,-1,软
175,RoqVnADsiyCbXfIO,1、噪音，可以考虑做个全车隔音，效果很不错。2、刹车软，我也觉得，所以我换了好点的刹车皮，效果杠杠的，至于品牌，很多不错的，我选了dixcel。,安全性,-1,软
181,yUMsnpofZeSxdTAB,主要是森林人的轮胎抓地力不强。我后来听别的群友，改了钢喉、换刹车油，效果很好；后来轮胎（同规格，但是抓地力好些）也换了，现在刹车效果很满意。,安全性,-1,不强
182,IYkL5tgioNwxv0P9,森的刹车的确差劲，大家可以原地试试，踩住刹车一直往下踩，刹车踏板就会慢慢下去的！根本没有余量！狠狠的连续多踩几脚用力踩下去，踏板还是会慢慢下去。我试过16款，15特装款都是这个样子！并且我特意试过一次120下一脚急刹车ABS没有起动。这个刹车我也是醉了,安全性,-1,差劲
183,3B08G27OHjTqlkng,软。加了刹车顶都觉得有点软。,安全性,-1,软
191,F6VLsIyjDNtEH2cX,cvt森的刹车片貌似价高且不耐磨，很多4万就换的。,安全性,-1,不耐磨
203,JGLpO2DbKewlcsQF,森林人真的没什么优点，内饰垃圾，动力不行，操控也就那样，质量差，小毛病多。关键后期还不便宜。我的2.5l尊贵已经非常后悔了，真的不值这个价    ,操控,-1,垃圾
217,mOr5aSICX29c04qj,说得对！！我要换中缸，已经在走程序了！！换上之后，如果发现还烧机油我就继续换，直到我这车跑烂为止，反正换过之后他们还得重新计算保修期！！   ,动力,-1,烧机油
220,buEnsOV8cjHXM9eU,我的也是烧机油，一起去国家质监总局缺陷产品网上面去反映啊,动力,-1,烧机油
226,zGdSonYPEBQ3p6D0,11-12烧机油更严重……1500高速一升市区也烧机油    ,动力,-1,烧机油
228,Ng5q2nbGK8fHWyAl,准备2.5豪华 纠结3点。。。第一就是这个山寨导航 还有cvt。。。烧机油。。。,动力,-1,烧机油
229,9tPwokbRgflTUL53,我的好像也中招了，每5000公里保养，这次少了2升 ，量了黄灯，0w20机油，14年7月买的2.5豪华导航版，不到4万公里，郁闷了,动力,-1,郁闷
244,8upxcNmoCJIwWRkr,会多烧机油的，这车不适合高速,动力,-1,烧机油
247,JQKMPr5qIuV4Ltbi,要是我的话，就不止两个了，隔音，音响，中控屏，烧机油，最后一个，4S坑！    ,动力,-1,坑
248,JQKMPr5qIuV4Ltbi,要是我的话，就不止两个了，隔音，音响，中控屏，烧机油，最后一个，4S坑！    ,配置,-1,坑
249,JQKMPr5qIuV4Ltbi,要是我的话，就不止两个了，隔音，音响，中控屏，烧机油，最后一个，4S坑！    ,舒适性,-1,坑
254,5ya9LlZrMuFUOqY2,森林人 烧机油 事实存在！,动力,-1,烧机油
255,DyoC3jlZTIONesfP,我是72000开始发觉烧机油    ,动力,-1,烧机油
266,zaxDUnt70JpKmQIP,不厉害就先用着，注意转向机油量。渗多了还是换    ,动力,-1,慢
267,ZPYG8pxSQbDgnAoC,火花塞6个小时！机油4个小时！！刹车油几个小时？中国式效率的服务，笑掉大牙,动力,-1,烧机油
268,wsY7VKqroUxeCJAy,我是13款森林人，65000公里烧机油爆震，已换中缸还是爆震！,动力,-1,爆震
279,qrBxS1PIjGkDfzLu,都是喜欢2.5大排量，主要怕烧机油，只能选2.0的了    ,动力,-1,怕
280,h29DYbR4FizryetT,12款，烧机油，发动机两边漏油，失望！！！,动力,-1,失望
281,S3btTXGPvYFL7qJQ,坛里有个高手发过自己更换机油、滤的帖子（就是把机油吸出来的帖子），他拧上去的时候说不用。,动力,-1,失望
282,NZpdArVhgM6fctzQ,机油、机油滤、空调滤清器是必须要换的。其他的发动机空气滤要考虑更换。其余油液检查渗漏，少了补上即可。风险，在外保养要注意留好维修工单、发票和维修店的资质文件，否则可能失去质保资质。,动力,-1,失望
284,dyL6vHGuiVWa3AwU,我车除了烧机油、熄火、爆震刹车还好。,动力,-1,熄火
289,nOQeI9iBmt7vo4CK,2.5的薄缸不敢买，还烧机油,动力,-1,烧机油
290,IoYCMwSH2Q7dXWpg,主要是cvt ，配合车重轻，发动机技术还没丰田好,动力,-1,没
292,pwuAHxX7Nm58kKoq,在国内卖的发动机最好还是油品适应力能越低越好，没办法，要开燃油车就要像两桶油的下限看齐，否则车子出了问题，过了质保就只能自己负担，森林人是我第一辆车，但也让我得到了很多启示，在天朝要么钱多多无所谓开废了就换车，要么就选一辆耐操的车子，不惧那些烂油，即便维修也相对容易，不是说斯巴鲁的车不好，是不适合国内的用车环境，尤其是对于普通老百姓来讲用车的风险成本太高    ,动力,-1,太吵
303,Prmb1ZgsUtyw3QEi,车载音响升级实在没有必要，车内空间小及产生的驻波，震动，行车噪音，未必能有好声，原车CD也不错了。,空间,-1,小
307,DfR2ZLPjO4hKyegJ,别以为国产合资的suv就便宜，国内紧凑性suv的总体价格就偏高，大众的新途观L，顶配加长后居然要卖35万的价格，抢钱抢疯掉了。森林人这款车在紧凑型suv这个级别还是有自己优势的方面，空间、通过性、经济性、配置还都不错，只不过价格贵了3-4万，不差钱的也认了，毕竟是进口车，各种税费摆在那里，像便宜也不可能。,价格,-1,贵
312,dHFPmVoXlOnjpgT6,这个就看你怎么平衡了，CX-5国内组装，森林人原装进口，CX-5空间是硬伤，四驱不如森林人。    ,空间,-1,硬伤
320,nXcjkR4mLy97V6zW,楼主，我其实当初和你一样纠结傲虎和森林人，当初我先选的傲虎，后来发现傲虎内饰还是优于森林人，最起码有个电子手刹啊，不过傲虎个人感觉外观比小森差点，车顶行李架傲虎太难看了。另外傲虎价格略高于森林人，我最后买的是尊贵森林人，傲虎这个价位估计只能买中低配吧，看你银子多少。,外观,-1,差点
329,gDyCLeTpMFGXdvxu,异响能解决吗？车漆能硬点吗？前档玻璃能结实点吗？,舒适性,-1,异响
330,gDyCLeTpMFGXdvxu,异响能解决吗？车漆能硬点吗？前档玻璃能结实点吗？,外观,-1,硬
331,gDyCLeTpMFGXdvxu,异响能解决吗？车漆能硬点吗？前档玻璃能结实点吗？,配置,-1,结实
339,TCoImBSG7rj9LH4J,担心2.0的动力，怕跑高速弱    ,动力,-1,担心
351,KhIXrJeMF9A3758q,用了快三年五万公里，没啥问题。就是噪音大。,舒适性,-1,噪音大
354,Y2P0Gy3dKRCwjpnx,没见过，不过启停这个功能真的鸡肋,配置,-1,鸡肋
355,KxRLJj51F4r6I8Tf,车漆是变色龙吗？一会黑一会紫，有个性,外观,-1,变色
357,zNFsBQAO1vId7pKG,雷车2013年后改款了，那个前脸改的太好看，再看这个10款觉得挺丑。要不我就小森再开一两年，那时换个13款以后的雷车 ？    ,外观,-1,丑
361,pl9hDRFZ3srzdS70,13款森飘过，2.0、 6万公里，完全无故障。除车漆薄，车身宽度略窄外，完美。   ,外观,-1,薄
367,tD5JWEAIGYw9cgsP,cvt的顿挫，都有通病。这才哪到哪呀，后面有你想哭的毛病，慢慢都会来的。,动力,-1,通病
373,N6I8D70KQFYh9MGe,我还是更喜欢17寸的，我觉得18的太颠了，过减速带不舒服,舒适性,-1,颠
383,keIWPg3Bp6DSA0Z5,凭啥我开9.6啊，8200公里，不公平！,油耗,-1,不公平
386,dBuLHilNWe3jAbYP,斯巴鲁内部文件都流出了，fb20和25都存在烧机油的缺陷，具体你在论坛里查帖子吧，还有这个内部文件有15-16年连续两稿，里面fb20和25都涉及在内，也都提出了改进方案，只不过改进方案归改进方案，烧机油的案例依旧存在，我也说了，在一个烧机油的品牌内选车，你已经将自己框死了    ,动力,-1,烧机油
390,kh2HUwfIg0mxDavj,现在就怕掀开盖子发现汽车制造从钢材到油耗全行业造假，只比谁的底线更低    ,油耗,-1,全行业造假
394,SEgAFC5OoGJdklbQ,我对比过 豪华是不错 但是那油耗和后排空间 真不喜欢，，，， 确实好车。。。。成都都知道 文家场 森林人隔壁就沃尔沃    ,油耗,-1,真不喜欢
395,SEgAFC5OoGJdklbQ,我对比过 豪华是不错 但是那油耗和后排空间 真不喜欢，，，， 确实好车。。。。成都都知道 文家场 森林人隔壁就沃尔沃    ,空间,-1,真不喜欢
