,content_id,content,subject,sentiment_value,sentiment_word
0,vUXizsqexyZVRdFH,因为森林人即将换代，这套系统没必要装在一款即将换代的车型上，因为肯定会影响价格。,价格,0,影响
7,z98xV7MphZIF4EvO,价格的话只能说一般般吧，太仓前段时间定的比你便宜！    ,价格,0,一般
12,EXBiRczhIu3paJWb,现在 什么价 优惠多少,价格,0,优惠
13,nQ0bIZtzj6P1Esgd,优惠一万一 送贴膜装甲脚垫 铁西庞大,价格,0,优惠
16,kN0LghcimajxWwH8,下手了，豪导特供，优惠1.6万,价格,0,优惠
17,vVoKucJy5pO0jSk2,优惠了8000，什么都不送。    ,价格,0,优惠
18,iBFJMqHtTRD5Qo6S,兄弟2.5豪导特供优惠1.6万可以下手吗？    ,价格,0,优惠
19,G8Yr51elsVaXFUZC,恭喜，优惠多少，我准备明天去提，2.5特装优惠两万,价格,0,优惠
20,10WF8Q53pVfOryvA,什么车款，多少优惠啊？康桥我只能谈到优惠1.5其他还送什么没问，试驾了一次看了两次2.0时尚     ,价格,0,优惠
21,VrRd1HcoMNAkvhJy,优惠1 ，就送行程记录     ,价格,0,优惠
22,1BYpO9FsgkmWLNQu,平常心吧，我本来想买傲虎，优惠不大，钱不够，改提森林人，6月提尊贵优惠1.4w，到了9月做活动森林人全系2w，傲虎全系3w，我......   ,价格,0,优惠
23,9EFImNb0ywhHBlcR,哈哈，25.48。优惠够给力    ,价格,0,优惠
25,4EK1Nu7X2DTzomRS,来湖北，我上月订的2.0蓝色时尚，优惠1万3送6次保养，本月底提车,价格,0,优惠
26,TWPEyNaI5mFgYupn,什么都没有，就是现金优惠和给了点小东西    ,价格,0,优惠
27,96A5VQfBgPWUYkul,什么都没有，就是现金优惠和给了点小东西，你最好先问问看有没有车    ,价格,0,优惠
28,JXlEzBcKGpI8stdr,原来最低也就优惠15000至16000   ,价格,0,优惠
30,RJe23jzrhZS4YDf7,遵义优惠6000，送十万公里包养,价格,0,优惠
32,LOCJwcQRnB9D1UWX,我只看到优惠20K ，不错。呵呵,价格,0,优惠
34,ACrPWTUvI2BOZHN5,优惠1万，上5年保险延保两年，不交钱    ,价格,0,优惠
43,q8wYIbkWPTmcv7da,原车的卡打开  显示所有文件 拷贝所有文件除了ini文件.   拷贝到16G卡(先格式化，我用的32G) 论坛下载的凯立德 拷贝整个文件以及ini文件到16G卡， 把ini设为只读. 插入导航开机，齐活了， 不复杂吧!,配置,0,
51,aA6qlSkoHIrts85y,2015款特装的导航谁升级了？,配置,0,
54,QPWzrFTepBUuGlx8,我的导航从没有死机过。,配置,0,
56,zsueijMfUkJVCEXt,说实话，基本上用不上车上导航，用手机更方便！音响效果不用纠结，毕竟不是想成为移动音乐厅。,配置,0,
58,SuU1GmxPA03sRt47,那个貌似是设置载重胎压用的，也就是载几个人或者是拖拖车的胎压用的，原车有带内置胎压计无奈不显示数值也无适配的独立的显示屏，我加了一个外置的固特异的胎压计（之前老车上拆下的），可以显示数值总感觉安心一点。,配置,0,
59,IF2Abxuj1yzmV7Eq,上下推动，切换中控显示屏，设置显示屏的,配置,0,
60,nCH1RTSBGXU0E3a4,需要DIY：把‘输入接口’焊接到汽车音响线路板的音量电位器的中线接点处和接‘地’点即完成。器材：输入接口一只、屏蔽跳线（普通跳线也可以）；工具：电烙铁、焊锡；,配置,0,
64,aNJpOgnXy4o5TVhe,长按电源键可关收音机，短摁关屏幕显示。    ,配置,0,
65,QZvRJzxCAUIswBrW,兄弟，我也是13款森林人，想换4.3彩屏的CD，请问所有按键都可以用吗？USB支持什么格式的音乐？无损支持吗？    ,配置,0,
67,OkMGCaSE1xD4rujm,我觉得360全景没必要。在外面改的效果也一般。装两个前雷达就可以了。,配置,0,
68,XgO0ixdBwTn6IsF4,昨天看了傲虎ES的官方视频，发现比一般的雷达ACC牛逼很多。。如果能加就好了！！,配置,0,
69,DIlCAMSxFYaWGP3z,年前优惠了12000 送了一套前置雷达,价格,0,优惠
70,V6FHl7vEXCOBcUGa,石桥这款轮胎是进口的，我记得途虎网上面有，但是有可能要提前预定的。我觉得森林人这款车有条件可以配二套轮胎，日常使用就用石桥的原配胎，走长途自驾马牌ccc系列不错。,配置,0,
71,FsAOim03dS2rBV9G,轮胎型号太多，挑选真是个折磨人的事。,操控,0,
72,k8oZIm9PRGrtsSv2,抗磨性能呢？我现在的胎磨损的那个还没到，主要是老化的厉害，寻思以后轮胎好好养护的，在轮胎不老化的前提下，尽量抗磨点   ,操控,0,
73,IeXnv29Rf3Bm6WKS,换4条静音轮胎才是正道,舒适性,0,静音
74,kPLH5G6jy2Rin1ZE,轮胎调平衡纯属扯蛋。轮胎如有动平衡问题，不换位也要调平衡。如果不存在，怎么换位都无所谓，除非有啃胎现象。,操控,0,平衡
75,hj6R3giB1q9T0t8Y,有的时候公里数多了平衡块会跑掉的，不过一万做动平衡确实早了。我4万换位做的动平衡有一个轮胎少了。   ,操控,0,平衡
76,znvfsaNSU6pb43hW,中控显示怎么连线的？谢谢,配置,0,连线
77,45uS1g98pkiWRL32,主要难点在于拆中控和方向盘，其它没什么。另外准备几根带针脚的线。游丝用胶布固定一下就好。其它很简单。   ,配置,0,简单
79,tKU0QLuF34pyxn8V,人家奥迪、JEEP都曾经用过CVT，都换掉了，追求走量、节油的才选，早晚号称全是四驱的森林人要把靠摩擦而不是啮合的减速箱抛弃   ,油耗,0,
80,9xSUq3Ovc4eGTZVy,追求省油的驾驶习惯，一定会加重积炭的产生，从而导致爆震，建议定期使用积炭添加剂！,油耗,0,
83,QhW8lfB4FPYgw7kZ,10年的车 2.5排量的  目前86000KM    市区  10--12个    高速8-9个  油   出保后  一直外面保养 价格 300--500  间,油耗,0,
84,nTGAzi61eUoBlgFb,上下班为主，平均油耗10个点多一点，保养时5000公里保养一次，价格还行,油耗,0,
85,3A26BUlaZJeFKNyj,我的16款，跑了5000公里不到，油耗7.8 。满箱油全跑高速800公里没问题，我刚换了后视镜，配件一个礼拜就到了。唯一不满意的就是高速风噪有点大，别的没毛病。宝鸡车主留。,油耗,0,
86,e6j37BTDEhsOu1Qr,综合油耗9，除第一次除都是自己买耗材在修理厂换，小保养400元左右。,油耗,0,
87,ho0UXsP8FB5jeDcq,如果是市区拥堵的话这个油不高  我最高时候13.4冬天   我现在34000了  油耗基本上在10个左右  不用纠结了  每辆车的用车情况都是不一样的,油耗,0,
90,2Y3MF0av8mbLd5JW,我是2.0 16款，目前5000公里，油耗9个！ 哎哎 后悔没上2.5！   ,油耗,0,
95,GQ7LvDwEXhn9zafb,我的2014自豪2.0行驶13000公里平均油耗10.6，多数是在市区行驶。为啥其它车主说7至8个，有一个经济时速问题，通常讲再高的驾驶技术和习惯，市区或者市郊行驶，最低也得10个左右，这样才实事求是。   ,油耗,0,
96,9k7LOMQxrosJqb3z,同款，8200公里，平均时速38，油表显示8.8升/100千米,油耗,0,
97,bjTDnVRMBQtCrUp0,收费一瓶198一瓶148。 不过市区跑真心积碳严重，排气管黑黑的。 油耗13.8。    ,油耗,0,
98,FIsT4EtO7pivSHPA,怪不得我的油耗13.6。。。95油，9毛6一公里，全市区。,油耗,0,
99,NCaIXYrAkb8xQPl2,我的油耗10升左右，加98号的,油耗,0,
100,SZAHDya1x47fjgor,我这里也是93改92，97改95，不过油耗没这么明显的变化，反正是感觉不出。,油耗,0,
103,g3yTW8RlDSUP6vCQ,你算少了的了，16款2.0，油耗13.6，全市区，跑了2003公里,油耗,0,
104,aOlyCibLouVx4RvU,油性液体在收到重力会出现什么情况呢？   ,油耗,0,
107,XoexjlK2gSwHO48r,11款，10.6万了，市内平均 11个油左右，高速 9.5左右，4AT的基本就这样了。,油耗,0,
108,WP7ISrXOepEdqsZ1,个人感觉开高速不一定省油，即使不堵车，也得看去哪，过年时，由北京向山西陕西方向一路上坡，油耗也得9-10个，返回一路下坡可以7-8个甚至更低，2.5的,油耗,0,
110,0V9oN2whKtF4O5qJ,2.0 平均油耗10个 不到四千公里,油耗,0,
112,hPoOdaTDlSnLBfWI,我2.5车子，济南到青岛高速全路段限速80公里，我定速巡航，显示油耗5.8！！,油耗,0,
114,djk0mphFKY6f59JV,xt，8.6 我感觉显示的不准，实际油耗会更高,油耗,0,
115,fjKyqd0npSGmZPeU,我是16款2.5的，东北冬天温度低，原加92乙醇汽油感觉肉，后改加95纯汽油，感觉有力了。原来平均耗油8.2升，进入冬天，现在综合耗油8.5升。,油耗,0,
116,MJyinzIlZDWLT14R,我今天油耗跑成9.8了，你又降了吗？   ,油耗,0,
117,OIWJYXeHaumo347E,开了三百多公里，大概13.5油。说起B格，我开森林人的时候，总是觉得比CRV，途观高那么一点，呵呵    ,油耗,0,
