,content_id,content,subject,sentiment_value,sentiment_word
2,QmqJ2AvM5GplaRyz,斯柯达要说质量，似乎比大众要好一点，价格也低一些，用料完全一样。我听说过野帝，但没听说过你说这车。   ,价格,1,低
5,TVciHBPL5XmUxMEd,我开始就是荣放2.5  森林人2.5二选一    荣放主要是底盘质感不行   太硬  其次是不能打开的天窗  和公主坟   不过价格确实便宜    少了5W块,价格,1,便宜
9,r1WHgbI0ZKqMdELy,恭喜恭喜，这个优惠不错哦！,价格,1,优惠不错
10,JSQUo6kblXYvtc2h,优惠幅度不小了，北京优惠八千,价格,1,优惠幅度不小
11,7kCF590PjAYqzEL6,优惠可以了！购进吧！买了不会后悔的！时间可鉴！   ,价格,1,不会后悔
33,SqulQGhIwreFVHYb,本来谈到2.5豪华优惠1万，因为想要10月份以后的车，销售推荐了特装。比尊贵只差了轮毂，很值    ,价格,1,值
36,MsCmRYyhIen2GBjZ,特装确实不错，配置很实用,配置,1,实用
38,KOD82cJZ6CvI0e4R,长城配置好！性价比高！,配置,1,好
39,KOD82cJZ6CvI0e4R,长城配置好！性价比高！,价格,1,高
41,1WpNIYyxzfmnUlrH,摩雷的听爱卓和优特声听人声都非常OK，而且价格不算高。DLS的低频应该是不用担心的，建议后门装，不加低音的前提下！可以加好友聊配置方案！    ,配置,1,OK
44,GI4jT7Rvn9JECKVP,个人感觉 改导航 没什么用 还不如手机，2.0改那个中控小彩屏真心不错。,配置,1,不错
52,n2pkF0Y6y4VjcBRd,原车CD音质好的很，我把4S送的导航拆了又换回CD机头了。纯粹，简单，实用！这也是斯巴鲁的精神！车么，是用来开的，不是用来玩APP的,配置,1,好
63,ZF2XPLNYs41Rhozl,2.5有小彩屏中控，这个值,配置,1,值
78,rvMT4zSUmHaXEpWn,哈哈，也是好车，不太喜欢它中控   ,配置,1,不太喜欢
81,lQNsJe87jMUC2AvV,我看LZ是11.6油耗，还行啊。跑几次高速就下来了。放心吧,油耗,1,还行
82,I5VAaUHWlS60mvQL,不会2.0比2.5还费油吧？！我的2.5平均油耗9.6，开了3000多公里，基本是市里跑，北京那么堵车这油耗就很满意了。,油耗,1,满意
88,St0ly3u25ohRkBLe,一直92，偶尔出去了不了解当地油品加95(97)。5万公里从没遇到问题，省油，动力也充足，加95也没感觉有啥不同。,油耗,1,省油
89,St0ly3u25ohRkBLe,一直92，偶尔出去了不了解当地油品加95(97)。5万公里从没遇到问题，省油，动力也充足，加95也没感觉有啥不同。,动力,1,充足
91,HIWjuAReXt83rTCf,我的小森虽然是2.0的，感觉油门很灵敏，起步时稍微点一下油门就窜出去了,动力,1,灵敏
93,g76B9i2PSeKq5uy3,主要是车轻，森林人行驶证上的车重只有1.4t多一点，加上cvt传动，肯定比同级别省油。,油耗,1,省油
101,jzHL9n375gpNdE1Y,我油耗13以内就很满意了,油耗,1,满意
105,lVwiDndz37WA4BfQ,我经常跑济南，我都走青兰高速，车少还是三车道，青岛到诸城限速120，诸城到济南限速100，好跑，省油。,油耗,1,省油
109,YIHtycdSqAUD05uB,上下坡肯定会有影响的，但总体来说油耗挺满意的    ,油耗,1,满意
111,9idZlGnrqwH42KuC,楼主开车真省油！我的2.5尊，去年6月20日提车，目前2.1万公里，综合油耗7.5，已经很知足。,油耗,1,知足
118,1mCU6W4bpnHdqeIG,13款2.5，，11个油飘过，8个油也就安安静静跑长途时候，现在高速基本9.6个油。。大油门13个油基本～～ 这车大油门，油耗挺大，温柔开油耗确实不高～～,油耗,1,不高
119,FjXpx7Emi5Q4WUoA,提车3天，开了400多公里。油耗惊人的低啊。。。,油耗,1,低
150,WZKCyh3kaOXA6qnV,内饰照片上传一下，6速手动，开起来真舒服啊。,动力,1,舒服
163,KfDzTRF8B9PrIeCO,江浙沪一带与广东一带有很多千万级身价的老板都买斯巴鲁森林人或傲虎玩。他们平时商务用桥车，休闲与户外时都用斯巴鲁，低调、安全又耐用。    ,安全性,1,耐用
192,BaJFsDNoudehQn5M,没开过欧蓝德，小森操控一流，中控啥太LOW。价格有点虚高。其他都不错吧,操控,1,一流
194,u5DertECskUI9ZT4,要我选森，我追求操控，看你了,操控,1,追求
195,EAdbZq0pfMwK6SJc,良好的操控带来良好的驾驶乐趣，单单从机械驾驶操控性能来看，还是名副其实的。    ,操控,1,良好
196,8wHMRKsNLT9E1VWd,德系等欧系车的底盘调校还是相当扎实的，操控都不错。斯巴鲁车是拉力赛好手，底盘调校的功底不弱，操控好是出了名的。在日系中，斯巴鲁的操控应该是第一的吧？,操控,1,第一
198,Yxo2wXkhlq0r1PKH,这个轮毂还行，重量也轻不少，操控更灵活了。就是圈跟幅交界的地方容易藏灰，清洗起来有点费劲。,操控,1,灵活
205,eCl6M8NqXZu92hpT,哈哈，上一代的cx-5的装配工艺接受不了，后排座椅家人也接受不了，原来一直看中cx-5的操控，但和森林人综合一比，定了森林人,操控,1,很好
208,Cb3vYt60eSp58G2A,看了视屏，这开斯巴鲁的开车太危险了，操控性斯巴鲁完胜。   ,操控,1,完胜
215,oFrawqdRgKHkElnD,一路上下山，基本20公里左右时速，森林人的全时四驱，不是白给的！只是在发卡弯或陡坡时才用X-MODE，非常好用，没有丝毫的失控感觉。值得拥有！,操控,1,好用
221,2FWKEjzTuk5Jv7nl,2.0.  14年豪华，没有烧机油,动力,1,没有烧机油
227,nqhdZVDGmpQOazYy,2T不烧机油，一万问题不大    ,动力,1,不烧机油
258,Fo0C4V1Sa59KeXTf,新款森林人没有发现烧机油   ,动力,1,没有
278,YbHRF8XlrDOvhAmS,提车时车友会的老司机就这么说了，但是不敢啊。曾经东北-上海2100公里，机油消耗很少。    ,动力,1,很少
286,j6g8WCnhx7RkoXT9,2013款到现在也没烧过机油,动力,1,没烧
288,rcinQNlBezUEPgX4,市区20完全没问题，还不担心烧机油！经常野外就25,动力,1,够用
291,iRWgzTPVE3uqpecI,换完后 是不是还去车管所改发动机号？ 好弄吗？,动力,1,耐用
294,MpP32UfuNvxlrT05,不是直喷发动机，马力当然不会大，但积碳少。,动力,1,少
295,oDwlJkQye7sLV9ET,我指的不是直线加速，小森的变速箱调教很灵敏，听说100以内提速都不差，但是看论坛里说过2.0的上坡特别是满载情况下很肉，超车恼火。我也一直想入2.0，但我们这儿4S没有相应排量的试驾，上次好不容易来了一辆，我又不错过了，我就是想先体验下再下手    ,动力,1,好
298,d2oHyCir5SajAIT0,我车2.5的，刚换完中缸。平时用车是非常满意的，动力足，加速快，安静省油。真的好用。   ,动力,1,足
299,d2oHyCir5SajAIT0,我车2.5的，刚换完中缸。平时用车是非常满意的，动力足，加速快，安静省油。真的好用。   ,油耗,1,省油
300,fGs6obyY5TOQrBMm,2.0的市区使用没任何顾虑，0到70加速没问题，100以上再加速弱点，160还是能跑到的。跟2.5的动力差距主要体现在跑山，爬坡，满载，段距离加入超车。,动力,1,没问题
301,gb2Maul36FGmpyHB,这么巧又关注森林人了？不考虑价格可上XT，但性价比真的不高！还是力狮划算！当然空间视野森林人要好些，通过力更是强于力狮。看眼缘吧。帮我采纳下！换车标用，再次感谢！,空间,1,好些
302,sWiCeDwlN5p2Y1G3,刨除质量不说，我觉得买唐要先考虑几个问题 1 有没有固定车位 2 物管准不准你按充电桩 3 开出去面子问题 这3个你都想好没问题不重要不要紧，那么我推荐你必须入手唐，因为实在是太爽了 4.9S.。。。还有空间配置都完全满足家用了。,空间,1,满足
305,DfR2ZLPjO4hKyegJ,别以为国产合资的suv就便宜，国内紧凑性suv的总体价格就偏高，大众的新途观L，顶配加长后居然要卖35万的价格，抢钱抢疯掉了。森林人这款车在紧凑型suv这个级别还是有自己优势的方面，空间、通过性、经济性、配置还都不错，只不过价格贵了3-4万，不差钱的也认了，毕竟是进口车，各种税费摆在那里，像便宜也不可能。,空间,1,都不错
306,DfR2ZLPjO4hKyegJ,别以为国产合资的suv就便宜，国内紧凑性suv的总体价格就偏高，大众的新途观L，顶配加长后居然要卖35万的价格，抢钱抢疯掉了。森林人这款车在紧凑型suv这个级别还是有自己优势的方面，空间、通过性、经济性、配置还都不错，只不过价格贵了3-4万，不差钱的也认了，毕竟是进口车，各种税费摆在那里，像便宜也不可能。,配置,1,都不错
308,LsGyDvz6AqU2pwgx,2.5豪华，森得空间比q5都大，操控也挺棒    ,空间,1,大
309,LsGyDvz6AqU2pwgx,2.5豪华，森得空间比q5都大，操控也挺棒    ,操控,1,挺棒
310,KeQTs3dVHp6yUfxr,不建议二手买美系车 凯迪拉克、林肯在美国的保值率都不高， 就是因为二手故障率高 我劝你选rx270 你真要想要6缸买歌诗图，空间大后备箱大，尤其是横向空间大。本田的发动机故障率也很低。底盘也高，这是个很实用的车。但是外形不太招人喜欢，无论在美国还是在中国销量都很差,空间,1,大
336,zqJD7Y8w1NiAHULp,途观L应该偏城市使用，森林人越野专业,操控,1,专业
337,ADLxpY1zUjF2uafv,我的2.5超车都杠杠的，不知道XT是什么赶脚，有机会感受下,动力,1,超车
341,TPDO59A4SI30NKcU,XT会让你喜欢的，红绿灯都是跑第一的，高速220没压力，,动力,1,没问题
344,TYNhmteiFw0nUrdQ,7年整23W路过 。   搓板路上飘，冰雪路上漂，高速上飞，城区路上蛇形超车·····小森啥事没干过？,动力,1,超车
349,xOFfHey54JY0hIQ3,米其林说是特别不抗磨，但静音效果非常好   ,舒适性,1,静音
350,jfgr05U1KDTkLVZx,感觉还可以的，静音好像比原来的普利司通好些。    ,舒适性,1,静音
360,tCEN34egDmI0YvPc,车衣，镀晶的本身都要先抛光一次，对车漆有伤害的。打硬蜡光泽度，硬度都还行，性价比也好很多的。   ,外观,1,性价比
363,w0hAsE95pjTbO4mq,米其林哪一款忘记了，主打静音    ,舒适性,1,静音
364,oSwcKjqTkHulpOvR,我2.0，就不后悔，挺满意的 市区、高速感觉挺好的,动力,1,满意
365,FiWN98UVeBg1Cf5G,我也换的米其林，没折腾，还是原来尺寸225的，胎噪小了。,舒适性,1,小
368,YBXrFaR8h29vscnU,车里5人，坡度更大的轻松飘过！,动力,1,轻松
369,hU5sGBfCeH9ZniJP,2.5好，高速噪音很大！！,舒适性,1,好
371,5Dj7SvPJH4qBNZik,2.5起步不错，中后段肯定不如涡轮充沛，涡轮随踩随有,动力,1,不错
378,B5mLIela7Ofk0xgr,而且 雪地里可以玩漂移    ,操控,1,漂移
393,iRMz5Aa1YvryShZe,我的是2.5的，这个车给我的感觉低速有用不完的劲，低速爬坡都不怎么给油，直线加速也不错，但120码爬坡发动机吼得厉害,动力,1,用不完的劲
419,76DOmTYsob3uI0En,白色说实话没蓝色的好看 不过车好 就不挑色了    ,外观,1,好看
426,mDMyt4hHUPCF0KzL,弄哈，挺好看的这个灯，装了逼格高    ,外观,1,逼格高
432,5mLcCU1yoOFbHg9z,哇，全系侧方影像啊，不错不错,配置,1,不错不错
433,oidBOejfGRY5KPxb,森林人宽敞些，因为高度比傲虎高，但舒适度不如傲虎,空间,1,宽敞
450,f6YyMTNvePXr0b5a,2.5，高速轻松上200，坐两人，后备箱满载，不要怀疑森的实力。,动力,1,
459,fJLwX7cDlQKRy5Ai,一个suv不要去pk速度啊 我们森林人的长项是爬马路牙子，安全性，兼顾操控性...（包括厂家宣传，从来也不侧重动力、加速度）,安全性,1,
460,fJLwX7cDlQKRy5Ai,一个suv不要去pk速度啊 我们森林人的长项是爬马路牙子，安全性，兼顾操控性...（包括厂家宣传，从来也不侧重动力、加速度）,操控,1,
484,CErOLkUy7zZ5DWjh,我的森林人开了7万公里，在深圳。油耗8个油，平时使用成本ok，空间及操控也不错。买了很满意,空间,1,
485,CErOLkUy7zZ5DWjh,我的森林人开了7万公里，在深圳。油耗8个油，平时使用成本ok，空间及操控也不错。买了很满意,操控,1,
489,1RtOMPviF0d6K7fc,12前脸好看，16侧身好看，尾部区别不大。,外观,1,好看
503,G5JgxzK1rqLROswT,几代森林人里，论外观12款的最好，现款空间变大、风阻改善，但不好看。,空间,1,大
515,PTV6hHl8XE3MU4Gq,明年10月份吧 探界者那rs版挺好看,外观,1,好看
517,PdJr3bRkSYB4aEZ0,斯巴鲁的空调很给力 我6年的车了，空调还是刚刚的 不要太纠结座椅通风，开会车，挺挺腰身，挪挪屁股也好，沁凉的空调环境里，也舒服,舒适性,1,
524,b5L90FVcUz7rElw6,crv内饰不错混动给力，森林人操控不错还省油，所以我选择奇骏～,内饰,1,不错
525,b5L90FVcUz7rElw6,crv内饰不错混动给力，森林人操控不错还省油，所以我选择奇骏～,动力,1,给力
526,b5L90FVcUz7rElw6,crv内饰不错混动给力，森林人操控不错还省油，所以我选择奇骏～,操控,1,不错
527,b5L90FVcUz7rElw6,crv内饰不错混动给力，森林人操控不错还省油，所以我选择奇骏～,油耗,1,省油
